comment,rating,thumbsUpCount,at
"Sebenernya sih udah bagus, tapi sayang belum disabilitas friendly. Hiburan kan diciptakan untuk semua orang agar bisa dinikmati. Jadi tolong ya buat menu pemilihan kursi bikin biar bisa diakses sama screen reader dan tolong pada proses pengembangannya libatkan yang harus dilibatkan. Hanya sekadar masukan sih, semoga kedepan aplikasinya bisa lebih inklusif bisa diaksses sama semua orang tanpa terkecuali. Terima kasih.",3,10,2025-04-08 16:32:52
"Baru pertama kali beli tiket disini, belum tahu gimana habis ini kalo datang ke bioskop nya.",4,0,2025-04-08 09:40:23
layanan prima,4,0,2025-04-08 06:15:33
makasih tix id banyak promonya,5,0,2025-04-08 06:09:48
"Totally ok, tapi tolong akses untuk memesan tiket next day atau ditanggal2 berikutnya diberikan. Sangat membantu org2 well prepare dari jauh jauh hari. Kadang aktif iconnya, tapi tidak lengkap filmnya. Berbeda dgn ketika kita akses dihari H nya",5,52,2025-04-08 04:40:40
pelayanan yang sangat baik respon cepat makasih untuk tix telah memberi pelayanan yang baik. tolong konsisten terus ya over all udh bagus pelayanan nya,5,0,2025-04-07 14:14:56
pelayanan sangat buruk,1,0,2025-04-07 09:14:03
"udah bayar udah pesen eh malah di refund dari aplikasi nya, mana duit gue blom balik tapi di refund tiket ny aneh bgt, duit gue dipotong tapi tiket gaada, penipu lo aplikasi",1,4,2025-04-07 07:35:29
Aplikasi error mulu...cpt benahi dong...svlm gua hapus ini aplikasi,2,0,2025-04-07 06:31:00
"nyesel download, Lokasi di tempat gua gak ada",1,0,2025-04-07 05:15:50
aplikasisinya sangat jelek setiap aku mau beli tiket gak bisa terus udah ganti hp juga sama aja kalo hp aku yang ngleg gak mungkin ini soalnya hp baru sangat tidak di rekomendasikan😡,1,4,2025-04-06 12:35:10
Aplikasi cak seak. susah nian mesannyo,1,0,2025-04-06 11:12:07
"saya pesan tiket bioskop di TIX ID, pembayaran Tiket berhasil tapi tiketnya tidak ada. tapi uang saya TDK dikembalikan langsung .",1,1,2025-04-06 09:35:42
"gua beli tiket, udah d bayar tp tiketnya gk terbit mau di refund gk bisa parah",1,1,2025-04-06 09:26:38
"tiket yg sudah di beli kenapa gak mau muncul yaa,udah di refresh gk muncul juga,mohon bantuan secepatnya",4,1,2025-04-06 07:22:57
gak ada Tombol forgot password nya,1,0,2025-04-06 06:19:07
"kenapa pas udah tekan ringkasan order, selalu loading terus, muter2, dan gak bisa transaksi??? tolong ditingkatkan lagi performa aplikasi kelen!!",3,8,2025-04-05 06:41:39
"bermanfaat, memudahkan pembelian tiket bioskop",5,0,2025-04-05 05:49:17
mempermudah biar gak usah repot² ngantri,5,0,2025-04-05 04:36:00
memudahkan untuk nonton,5,0,2025-04-05 03:47:48
"halo mimin sayang, terima kasih sudah menyediakan fitur yang berkualitas dan bermanfaat, film-film yang disajikan juga ga kalah update. Tapi sayang sekali ada fitur jam tayang film yang akan ditayang pada waktu berikutnya tidak di tampilkan lagi. Karena ga mungkin seseorang bakalan merencanakan nonton film pada hari ini saja mungkin ini bisa diperbaiki dengan menampilkan jam tayang film-film apa saja yang akan ditayangkan pada hari-hari berikutnya supaya bermanfaat untuk pengguna, love u minn",4,0,2025-04-04 14:40:42
"pelayanannya sangat buruk, bahkan untuk fee tiket dengan harga 4 ribu pertiket sangat kapitalis. saya membeli tiket dan sudah melakukan pembayaran tapi pembelian tiket gagal dan uang saya tidak kunjung dikembalikan. saya sudah melakukan komplan ke aplikasi dan cs tapi prosesnya sangat lemot sekali hanya untuk mengembalikan uang saya. sumpah buruk sekali pelayanannya",1,13,2025-04-04 09:00:40
refund gagal secara sepihak...dan proses pengembaliannya lama,1,0,2025-04-04 08:21:15
kurang kecil tombol skip iklannya,1,0,2025-04-04 07:40:43
memudahkan ..melakukan transaksi dan sudah bisa melihat Hobby aku tak tertunda lagi ..,5,1,2025-04-04 05:19:14
belum BS pakai voucher nya,4,0,2025-04-04 01:35:56
memudahkan untuk penggemar bioskop,5,0,2025-04-03 19:00:30
sangat bagus🤩😎 dan,5,0,2025-04-03 12:12:01
keren aplikasinya,5,0,2025-04-03 04:56:23
bantu dong gimana caranya biar ada pilihan xxi soalnya cuman ada pilihan cgv sama cinepolis,5,0,2025-04-02 17:42:41
tidak beroprasi lg kah ni apk. gbs dibuka selalu sgop berfungsi,1,0,2025-04-02 03:38:51
"Kocak aja njir, film luar sinopsis nya bahasa indonesia sedangkan film lokal malah bahasa inggris, kebalik njay😆 Jika bisa buat semua sinopsis nya jadi bahasa indonesia.",2,2,2025-04-01 22:13:52
"kenapa di makanan dan minumannya gak bisa sekalian di gabung sih jadi biyaya adminnya gak berkali""",4,0,2025-04-01 12:42:21
pilih kasih. film QODRAT 2 promo get 1 free 1 tidak berlaku dikota Makassar,1,0,2025-04-01 05:09:15
"design tata ruang luxury,sound benar2 kualitas super benar2 nyaman👍",4,0,2025-03-31 23:08:18
aplikasi sangat bagus dan mudah untuk memesan tiket bioskop,5,1,2025-03-31 00:21:00
tolong dong Indramayu suruh ada tayang bioskop tolol banget sih banyak film baru gak tayang bego banget,2,1,2025-03-30 16:08:01
"lebih ditingkatkan lagi. n sering2 ngadain promo2 yg lebih heboh lagi, n menarik",5,1,2025-03-21 03:29:13
aplikasi sudah 1 minggu kendala terus.,1,2,2025-03-19 03:59:12
"aplikasi nya bagus, dan bisa membeli tiket bioskop apa saja",5,1,2025-03-16 03:57:21
"parah ini tix id, refund sepihak uang ga balik",1,0,2025-03-09 02:22:15
"Udab lama gabisa beli tiket gabisa log out jg muncul tulisan ada kendala pdhl sinyal bagus ga ada masalah jaringan, udah update juga versi terbaru, aneh bgt jd aku uninstal aja deh",1,0,2025-03-08 03:32:45
"Awalnya bagus² aja apk nya, makin lama makin susah di buka apknya, ganggun atau gimana?",3,2,2025-03-05 07:36:09
"sangat membantu,wort it bnykin promo nya",5,0,2025-02-24 01:40:19
"Ini maksudnya gimana dah? Saya pesan tiket 2 kali, disitu tertera hanya beberapa bioskop (biasanya hanya 3), bioskop yang saya pengen, ga ada di daftar. Saya kira emang bioskop yang saya suka ga ambil film tersebut, tapi pas saya cek lagi di hari H-nya (hari nonton filmnya), tiba-tiba bioskop yang saya suka muncul. Ga jelas. Seharusnya saya pesan di bioskop yang saya suka, karena ga muncul, terpaksa bioskop lain yang lebih jauh.",2,9,2025-02-21 05:55:31
wah keren banget kuota sqya jadi abis,1,0,2025-02-19 15:28:22
kalau pas Film nya Baru.. rame penonton nya.. aman kan tiket nonton nya dengan TIX ID. gak perlu khawatir.. pasti dapet deh.. seat terbaik (pilihan mu sendiri). Bisa liat jam tayang dan film2 yg lagi tayang dan akan datang (coming soon)... Berlaku di semua Kota.. Tinggal pilih kota nya juga. Baik di XXI atau pun CGV.,5,167,2025-02-17 07:21:16
Membantu dalam pembelian tiket dan Informasi flm,5,0,2025-02-16 07:31:22
Apk memudahkan untuk mesen tiket hiburan,5,0,2025-02-16 06:06:59
"Jaringan saya bagus, tapi kok kenapa aplikasi nya ngga ke buka""... Udah refresh beberapa kali tetep aja gak ke buka. Gimana sih!",2,5,2025-02-16 05:30:42
"Mantapppp, tambahkan lagi penukaran koin di 20-30rb dong 😍 Tambahkan juga dark mode untuk tampilan TIX ID. Dan untuk biaya admin bisalah jika pesan lebih dari 1 tiket, tidak berkelipatan per tiket(:",4,56,2025-02-16 05:26:31
"Apk nipu, bilangnya dapat cashback bagi pengguna baru, ini sudah memenuhi syarat gak dapat2, mending make aplikasinya lain kalau mau beli tiket bioskop",1,0,2025-02-15 10:38:06
Jelek banget nih aplikasi busuk bgt.,1,0,2025-02-15 06:47:38
Aplikasi lama lemot lelet daglog asli,1,0,2025-02-15 06:42:34
tolong kalo bisa kursi yang udah dibeli ditandain dengan gender biar kita tau yang male atau female,4,2,2025-02-15 00:59:05
Saya daftar nggak ada notifikasi,1,0,2025-02-13 06:53:45
"Tidak bisa tukar voucher nya, padahal sudah ada 59.000 coins, quota habis terus ...percuma VIP+",2,1,2025-02-12 13:58:37
"Sangat membantu, tanpa hrs antri👌",5,0,2025-02-12 09:50:25
sangat bermanfaat dan mudahhh💖💖,5,0,2025-02-12 09:08:10
Kenapa maintenance lama banget,1,0,2025-02-11 16:05:49
"Aplikasinya sudah bagus.namun hanya saran saja,coba untuk setiap jam tayang film ditambah ketersediaan kursi didepannya untuk semua bioskop (misal 276/280 available).lalu coba ditambahkan jaringan bioskopnya seperti kcm dan flix. Terima kasih dan sukses selalu",4,3,2025-02-11 05:01:55
"Katanya bukan remake drakor, tapi adaptasi webtoon. Itu PH dan aktor2 nya yg bilang, kok tim tix id ngide promosiiin tuh film disandangiin sama drakor?!. Ikutin PH dan aktornya dong!",1,0,2025-02-09 12:17:53
sangat baik terimakasih apk sangat membantu,5,0,2025-02-09 04:36:11
"Bagus pesan tiket disini sangat memudahkan, Makasih 🙏🏼😊",5,0,2025-02-08 02:01:49
"efisien, saya cocok",5,0,2025-02-07 13:20:41
aplikasi yang bagus bikin mudah pada saat mau nonton bioskop.tanpa antri lagi,5,4,2025-02-06 04:40:12
Sangat membantu tapi knapa ya koin ngak bisa kepakai lagi padahal lumayan banyak untuk potongan harga,4,5,2025-02-04 23:28:44
"Untuk metode pembayaran, jgn hanya memakai satu pembayaran dari salah satu dompet digital saja min, setidaknya ada 3 pilihan, dompet digital, virtual account, sm Transfer m-banking. Satu lagi mode gelap, itu jg blum ada.",4,12,2025-02-03 01:42:24
"Dengan menggunakan aplikasi TIX ID ngebantu banget Gan! Gak perlu repot-repot antri kalo kita mau nonton film di bioskop. Info film-filmnya dan lokasi bioskopnya juga lengkap bahkan kita di-update terus film-filmnya yang paling baru dan yang lagi HYPE!🤩 Promo-promonya juga bisa bikin kantong kita lebih hemat🤑 O iya, kita bisa sekalian langsung pesen makanan cemilan popcorn🍿 dan minuman 🍹buat sambil nonton film. Ada paket murah meriah juga LOHHH 🤑🤓",5,118,2025-02-02 03:06:57
mudah dalam membeli tiket👍🏼,5,0,2025-01-31 10:02:18
ngadain promo yg tidak niat ngasih mending ilangin promi nya sekalian,1,1,2025-01-31 07:20:08
"Mantaps, trimaksih sudah bisa liat jadwal filemnya jadi enak pas beli tiket di bioskop tau jamnya 😁",5,0,2025-01-30 13:23:37
"Saya selalu diarahkan pada tix even, meskipun saya sudah keluar. Mohon diperbaiki",3,1,2025-01-30 10:57:30
"Gunanya poin apa coba ga bisa d ganti apus ae sistem poin, semua poin kadarluarsa karna ga bisa dituker",3,2,2025-01-29 03:27:19
"Sangat membantu, terutama buat Movie mania yang punya posisi kursi favorit atau males antri tiketing",5,2,2025-01-28 14:25:32
Aplikasi yang sangat membantu untuk membeli tiket bioskop dan lain lain nya di bioskop 👍🏻,5,0,2025-01-28 14:03:37
+ dong metode pembayaran virtual account nya BRI BCA,5,0,2025-01-28 11:12:45
Terima kasih semua jadi mudah,5,0,2025-01-28 07:41:04
nton ke bioskop ga pake antri tiket lg deh Kl bgini.. knpa ga dari dulu ya..,5,1,2025-01-27 12:26:38
"aplikasinya memudahkan banget, gak perlu repot repot antri beli tiket, tinggal beli di aplikasi ini aja terus scan barcode nya. jadi gak takut lagi deh gak kebagian kursi diatas semenjak pakai aplikasi ini",5,71,2025-01-27 09:07:16
"top lah, bisa booking jauh jauh hari jadi gak takut ketinggalan film terbaru datang scan, duduk, dan makanan pun di antar",5,0,2025-01-27 05:40:01
Aplikasi Yg Sangat bagus n memudahkn Tdk pake antrian,5,0,2025-01-27 00:40:16
"ADA APA SERVER TIX, APA SUDAH MAU BANKRUT???",2,0,2025-01-26 13:46:36
"Sekarang sering error, gak bisa dibuka",1,2,2025-01-26 04:59:03
sangat membatu untuk melihat film bioskop,4,0,2025-01-25 07:20:39
boleh kah adminnya di kurangi.. heee,4,0,2025-01-23 09:44:29
Mau nonton overlord tapi belum ada di bioskop serang 😮‍💨,5,0,2025-01-23 03:43:07
"Alhamdulillah ada apl TIX ID memudahkan sy memesan tiket tanpa takut kehabisan,best pokonya,thanks",5,0,2025-01-21 12:58:57
"Macam puki, aplikasi gak bisa dibuka",1,0,2025-01-20 03:29:00
Setelah di update sering error ga bisa dibuka lol,1,6,2025-01-18 07:49:43
"kacau fasilitasnya jelek banget banget banget,cetak tiket ga keluar!! mau cetak ulang bilangnya telah di cetak!! lokasi : gragemall cirebon",1,7,2025-01-18 04:56:36
sangat membantu bgt aplikasinya...,5,0,2025-01-16 14:08:30
mudah simpel dn praktis,5,0,2025-01-15 10:21:07
membantu saya membeli tiket nonton tanpa harus ke bioskop,5,0,2025-01-13 18:58:31
Sediakan pembayaran Kartu Kredit/Debit,5,0,2025-01-13 10:14:12
"Min d pemalang kan udah ada bioskop kok belum masuk daftar bioskop d tix yah, mohon untuk segera d daftarkn supaya lebih mudah membeli tiket dan melihat jadwal jm tayangnya",5,0,2025-01-12 11:02:01
kenapa aplikasi eror dan ada kendala terus?,3,0,2025-01-11 05:30:52
"ini apk kenapa dah gak bisa dibuka, padahal sinyal bagus, udah ganti ke wifi/paket data, udah uninstall trs install ulang, udah update dll udah dilakuin semua, tetep aja selalu ada keterangan ""ada kendala, cobalah beberapa saat lagi"" tolong dong di benerin",3,16,2025-01-08 03:18:55
Bagus lebih efisien,4,0,2025-01-07 07:29:26
fav app buat pesen tiket ga ribet,5,0,2025-01-07 01:47:36
Bagus sangat membantu,5,0,2025-01-05 16:45:39
tidak ribet dan sangat membantu,5,0,2025-01-04 10:25:10
"Kenapa promo buy one get one punya saya tidak muncul ketika sudah saya order? Padahal di profil > voucher, tersedia voucher buy one get one.",1,2,2025-01-03 10:59:53
"Bintang NOL ,,, Saya kecewa, saya membeli tiket di TIX id ini sampai film mulai lama tapi kode booking tidak muncul sehingga saya tidak dapat masuk, saya sudah tanya bagian ticketing tp itu kemungkinan gagal, saya langsung email ke TIX id baru di balas keesokan harinya dan di balas film sudah berhasil di booking, tolong ya perhatikan baik baik hasil screenshotan saya di jam berapa, film jam berapa,mulai film jam berapa dan kode booking muncul jam berapa?? Saya samapai membeli tiket lagi loh..",5,3,2025-01-03 10:59:03
"Udah hampir sebulan susah di akses alhasil kalo mau buka di uninstal mulu , ini kenapa?",1,0,2024-12-31 03:33:23
"katanya ada cashback utk transaksi pertamakali pke gopay, tapi kok gaada cashbacknya yaaa?😔😔 masii aku tunggu niih, kalo beneran gaada kuubah ratingnya mksi",4,0,2024-12-30 06:58:28
"Lumayan oke, cman gada promo atau diskon gitu",4,0,2024-12-28 05:42:44
"Baguss aplikasi nya mempermudah kaum mager antri panjang kaya aku, tapi minimal dibanyakin plis metode pembayaran nyaa hehe",4,3,2024-12-27 07:25:14
"Sangat mudah di gunakan, dari pemilihan film lalu ke pemilihan waktu tayang dan pemilihan tempat duduknya jg, sampai ke pembayarannya. Over all kalo memakai aplikasi biaa dapat banyak promo buy 1 get 1 yang sangat menguntungkan bagi couple yg ingin nonton berdua tp hemat. Cuma saran aja, lebih bagus lg ada pembayaran cash di kasir, jikalau kita tidak memiliki saldo. Love it",5,139,2024-12-27 01:14:32
Wow luar biasa apl ini mantap banget deh good l.....,5,0,2024-12-26 11:39:36
"Mudahkan buat beli tiket tnp harus antri..dan semua film"" yg akan tayang pun bisa di lihat di apk ini.. Tapi sayangnya tiap mau tukar koin knp gagal terus,ya..slalu tertera gagal tukar voucher..(mohon maaf terjadi masalah sistem dalam penukaran voucer,di karnakan kuota voucer yg telah habis) Masa seperti itu terus tiap hari & mau tukar koin yg di dapat..",5,2,2024-12-26 09:13:27
Sangat membantu sekali disaat untuk dapat posisi kursi yg kita mau.,5,2,2024-12-26 09:02:25
"Bayar pakai gopay pertama kali dapat cashback 50% ... Ternyata hoaks.. . Di bohongi . .di suruh nanya ke pihak gopay, .sama aja ..gopay tidak bertanggung jawab .tidak memberikan jawaban yang real. Tiba tiba pertanyaan di tutup.",1,0,2024-12-26 01:41:36
"Memudahkan Dalam Memesan Tiket Bioskop, Thanks",5,0,2024-12-25 06:00:14
PHP doang katanya ada point yang bisa di klaim dan promo beli 1 tiket gratis 1 tiket info ini bohong saya selalu mencoba selalu gagal,2,4,2024-12-25 04:18:03
sangat membantu dlm pembelian tiket XXI,5,0,2024-12-25 03:52:20
"bagus promonya, tapi harga admin nya terlalu mahal. tolong diturunin harganya",5,2,2024-12-25 02:06:55
"POIN SAYA AKAN HANGUS PADA TANGGAL 31 DES 2024, NAH SAYA MAU TUKER GA BISA, KATANYA VOUCHER HABIS!! HAHAHAHA LICIK",1,0,2024-12-24 23:11:03
aplikasi nya sangat bagus dan membantu 🙏,5,0,2024-12-24 07:08:49
"memudahkan dalam pembelian tiket, jadwal film, dan lainnya serta udah bisa payment via ewalet atau bank. hanya saja knp skrg ga ada fitur bahasa jdi ga bisa di ganti ke bahasa indonesia hanya bahasa inggris saja",3,0,2024-12-23 01:17:23
HAPUSKAN PROTEKSI BATAL NONTON!!! Ketika dihapus bikin ngeLag dan resiko diserobot user lain. Selalu gagal berulang dan fitur TIDAK PENTING!!!,1,1,2024-12-22 13:50:09
"Aplikasinya suka g bisa dibuka. Udh dicoba diinstal ulang, bisa sih tapi waktu baru diinstal doang. Kesananya g bisa lagi",2,0,2024-12-22 11:53:03
"apk nya bagus tapi waktu itu sempat lupa pw tapi akhirnya masuk juga , keren dah",5,0,2024-12-21 14:45:36
lebih mudah & ga harus buru²,5,0,2024-12-21 00:16:49
"Aplikasi gak jelasssssss,,,hampir 1 jam gua mau buat pesanan tiket tapi gak bisa bisa,,bikin emosi aja nih aplikasi. Gak akan gua pake lu lg,,,uninstal aja!!!!!",1,5,2024-12-20 09:53:29
"Tolong untuk sistem pembayaran nya ditambah dan diperbanyak lg, seperti bisa pembayaran melalui Virtual Account bank",4,0,2024-12-18 16:19:14
App keren deh pkoknya..,5,0,2024-12-15 15:46:30
"Bagusss,, Memudahkan.. Semoga semakin ditingkatkan...",5,0,2024-12-13 07:48:49
bagus sekali bener dahh wkwkwk,5,0,2024-12-13 04:31:20
bagus Pkona mah lah hatur nuun,5,0,2024-12-13 04:28:04
"Ini aplikasi di Indonesia tetapi sinopsis film rata2 menggunakan Bahasa Inggris, harusnya ada menu terjemahan nya jika memang dari pihak film memberikan sinopsis berbahasa Inggris",3,7,2024-12-12 08:01:53
Aplikasi paling keren baru login mau pesan eh ternyata yang mau di tonton ada diskon buy 1 get 1 gak pake lama langsung gercep saya Ama temen²😁,5,21,2024-12-11 10:37:52
"Kepada yang terhormat PT elang jaya ini tolong perbaiki napa di hp saya itu erorr terus coba lagi nanti gitu tolong perbaiki napa masa orang nya rapi rapi di kantor aplikasinya bobrok kan aneh it nya kalau ga becus ganti aja sama yang niat kerja, saya bukannya so atau apapun tapi saya mau lihat lihat film atau booking film buat nonton di bioskop jadi susah dan terganggu, terimakasih banyak 🙏.",1,9,2024-12-11 04:36:12
Staffnya sombong2x gak punya jiwa pelayanan yang ramah. Jauh banget berubah sifat2x staffnya khususnya di sumarecon,1,0,2024-12-08 15:59:01
Aplikasi ini bagus untuk para penggemar nonton bioskop,5,0,2024-12-08 02:15:04
